sku_id	product_id	shop_id	pay_count	pay_amount	sales_ratio	stock_count	stock_days	data_dt	time_type	dt
sku_11055	prod_1105	shop_002	480	24292.8	0.3021	208	0.4	2025-01-01	day	2025-01-01
sku_10048	prod_1004	shop_001	155	39458.35	0.1336	129	0.8	2025-01-01	day	2025-01-01
sku_11399	prod_1139	shop_002	242	212374.36	0.2928	940	3.9	2025-01-01	day	2025-01-01
sku_11427	prod_1142	shop_001	353	98409.34	0.5802	165	0.5	2025-01-01	day	2025-01-01
sku_10094	prod_1009	shop_002	154	143691.24	0.693	324	2.1	2025-01-01	day	2025-01-01
sku_11682	prod_1168	shop_001	183	139735.14	0.4877	189	1.0	2025-01-01	day	2025-01-01
sku_11658	prod_1165	shop_001	468	103484.16	0.2747	610	1.3	2025-01-01	day	2025-01-01
sku_10255	prod_1025	shop_002	180	132332.4	0.6038	413	2.3	2025-01-01	day	2025-01-01
sku_10979	prod_1097	shop_003	449	400261.05	0.1944	962	2.1	2025-01-01	day	2025-01-01
sku_11539	prod_1153	shop_002	20	994.6	0.5214	266	12.7	2025-01-01	day	2025-01-01
sku_11314	prod_1131	shop_003	490	219162.3	0.7529	225	0.5	2025-01-01	day	2025-01-01
sku_11709	prod_1170	shop_001	428	16580.72	0.6937	920	2.1	2025-01-01	day	2025-01-01
sku_11676	prod_1167	shop_001	360	32446.8	0.7314	438	1.2	2025-01-01	day	2025-01-01
sku_11470	prod_1147	shop_001	145	99993.45	0.1931	130	0.9	2025-01-01	day	2025-01-01
sku_10987	prod_1098	shop_003	364	48594.0	0.4423	256	0.7	2025-01-01	day	2025-01-01
sku_11862	prod_1186	shop_003	175	148064.0	0.5472	642	3.6	2025-01-01	day	2025-01-01
sku_10770	prod_1077	shop_003	339	237316.95	0.7247	626	1.8	2025-01-01	day	2025-01-01
sku_11434	prod_1143	shop_003	51	11763.66	0.7601	104	2.0	2025-01-01	day	2025-01-01
sku_11554	prod_1155	shop_003	267	44858.67	0.6334	916	3.4	2025-01-01	day	2025-01-01
sku_11584	prod_1158	shop_001	344	242337.68	0.1035	400	1.2	2025-01-01	week	2025-01-01
sku_10743	prod_1074	shop_003	18	16971.12	0.7747	722	38.0	2025-01-01	week	2025-01-01
sku_10183	prod_1018	shop_003	121	41638.52	0.0602	888	7.3	2025-01-01	week	2025-01-01
sku_11380	prod_1138	shop_003	484	185870.52	0.6826	436	0.9	2025-01-01	week	2025-01-01
sku_10556	prod_1055	shop_002	282	164064.78	0.1331	939	3.3	2025-01-01	week	2025-01-01
sku_10967	prod_1096	shop_002	480	230985.6	0.7603	326	0.7	2025-01-01	week	2025-01-01
sku_11324	prod_1132	shop_002	287	254738.33	0.6036	107	0.4	2025-01-01	week	2025-01-01
sku_11463	prod_1146	shop_001	301	260882.72	0.1852	355	1.2	2025-01-01	week	2025-01-01
sku_10583	prod_1058	shop_003	54	52134.84	0.08	620	11.3	2025-01-01	week	2025-01-01
sku_11040	prod_1104	shop_001	327	284218.59	0.7607	649	2.0	2025-01-01	week	2025-01-01
sku_10220	prod_1022	shop_003	228	131166.12	0.7783	257	1.1	2025-01-01	week	2025-01-01
sku_11729	prod_1172	shop_001	492	187683.24	0.1237	685	1.4	2025-01-01	week	2025-01-01
sku_11839	prod_1183	shop_001	295	201827.2	0.4722	599	2.0	2025-01-01	week	2025-01-01
sku_11314	prod_1131	shop_002	198	133665.84	0.0555	508	2.6	2025-01-01	week	2025-01-01
sku_11332	prod_1133	shop_003	335	18532.2	0.4288	908	2.7	2025-01-01	week	2025-01-01
sku_11411	prod_1141	shop_002	309	173126.52	0.6504	744	2.4	2025-01-01	week	2025-01-01
sku_10933	prod_1093	shop_003	46	21926.82	0.2693	890	18.9	2025-01-01	week	2025-01-01
sku_10904	prod_1090	shop_003	264	256367.76	0.5053	918	3.5	2025-01-01	week	2025-01-01
sku_10776	prod_1077	shop_002	127	121653.3	0.174	390	3.0	2025-01-01	week	2025-01-01
sku_11445	prod_1144	shop_002	310	138033.7	0.0577	994	3.2	2025-01-01	week	2025-01-01
sku_11841	prod_1184	shop_003	304	60979.36	0.4417	551	1.8	2025-01-01	week	2025-01-01
sku_10231	prod_1023	shop_002	315	22554.0	0.1482	548	1.7	2025-01-01	week	2025-01-01
sku_11071	prod_1107	shop_003	384	307795.2	0.6267	354	0.9	2025-01-01	week	2025-01-01
sku_10238	prod_1023	shop_003	90	3814.2	0.0813	905	9.9	2025-01-01	week	2025-01-01
sku_11727	prod_1172	shop_002	24	11133.12	0.1895	906	36.2	2025-01-01	week	2025-01-01
sku_11425	prod_1142	shop_003	454	12584.88	0.508	181	0.4	2025-01-01	week	2025-01-01
sku_11512	prod_1151	shop_001	119	117238.8	0.4728	970	8.1	2025-01-01	week	2025-01-01
sku_10470	prod_1047	shop_001	243	165310.47	0.4798	635	2.6	2025-01-01	week	2025-01-01
sku_10988	prod_1098	shop_003	25	6151.0	0.6658	988	38.0	2025-01-01	week	2025-01-01
sku_11165	prod_1116	shop_001	85	33440.7	0.5382	412	4.8	2025-01-01	week	2025-01-01
sku_10269	prod_1026	shop_003	465	318915.6	0.1171	735	1.6	2025-01-01	week	2025-01-01
sku_10714	prod_1071	shop_001	370	100403.2	0.5129	658	1.8	2025-01-01	week	2025-01-01
sku_10600	prod_1060	shop_003	144	106966.08	0.6409	483	3.3	2025-01-01	week	2025-01-01
sku_10846	prod_1084	shop_003	390	334206.6	0.6852	488	1.2	2025-01-01	week	2025-01-01
sku_10384	prod_1038	shop_003	317	209863.51	0.6774	565	1.8	2025-01-01	week	2025-01-01
sku_11825	prod_1182	shop_001	495	443698.2	0.5092	941	1.9	2025-01-01	week	2025-01-01
sku_11981	prod_1198	shop_003	52	22461.4	0.2241	538	10.2	2025-01-01	week	2025-01-01
sku_10571	prod_1057	shop_003	127	56362.6	0.6782	552	4.3	2025-01-01	week	2025-01-01
sku_10232	prod_1023	shop_001	83	42666.15	0.4292	493	5.9	2025-01-01	week	2025-01-01
sku_11188	prod_1118	shop_002	299	111924.67	0.5348	454	1.5	2025-01-01	week	2025-01-01
sku_10972	prod_1097	shop_003	215	179533.6	0.5219	538	2.5	2025-01-01	week	2025-01-01
sku_10860	prod_1086	shop_001	177	78857.04	0.0626	838	4.7	2025-01-01	week	2025-01-01
sku_10811	prod_1081	shop_002	313	203093.18	0.4508	949	3.0	2025-01-01	week	2025-01-01
sku_10276	prod_1027	shop_003	281	153839.07	0.75	962	3.4	2025-01-01	week	2025-01-01
sku_10041	prod_1004	shop_003	331	23613.54	0.588	312	0.9	2025-01-01	week	2025-01-01
sku_11507	prod_1150	shop_002	137	34236.3	0.4728	795	5.8	2025-01-01	week	2025-01-01
sku_10871	prod_1087	shop_002	153	72483.75	0.6038	770	5.0	2025-01-01	week	2025-01-01
sku_10894	prod_1089	shop_001	89	73752.52	0.4371	97	1.1	2025-01-01	week	2025-01-01
sku_11345	prod_1134	shop_001	152	49286.0	0.1354	86	0.6	2025-01-01	week	2025-01-01
sku_10223	prod_1022	shop_002	176	5526.4	0.3549	855	4.8	2025-01-01	week	2025-01-01
sku_10524	prod_1052	shop_001	393	302873.31	0.2183	742	1.9	2025-01-01	month	2025-01-01
sku_11596	prod_1159	shop_001	397	297372.85	0.6775	245	0.6	2025-01-01	month	2025-01-01
sku_10589	prod_1058	shop_001	254	214114.38	0.1843	283	1.1	2025-01-01	month	2025-01-01
sku_11635	prod_1163	shop_002	471	361841.04	0.1987	294	0.6	2025-01-01	month	2025-01-01
sku_11249	prod_1124	shop_002	285	253564.5	0.7175	971	3.4	2025-01-01	month	2025-01-01
sku_11631	prod_1163	shop_003	353	147013.91	0.6399	530	1.5	2025-01-01	month	2025-01-01
sku_10928	prod_1092	shop_001	88	32611.92	0.3724	126	1.4	2025-01-01	month	2025-01-01
sku_10673	prod_1067	shop_003	97	68039.68	0.6601	904	9.2	2025-01-01	month	2025-01-01
sku_10518	prod_1051	shop_003	154	143512.6	0.2914	331	2.1	2025-01-01	month	2025-01-01
sku_10912	prod_1091	shop_001	242	106809.12	0.2821	222	0.9	2025-01-01	month	2025-01-01
sku_11281	prod_1128	shop_002	35	14537.6	0.0703	933	25.9	2025-01-01	month	2025-01-01
sku_10787	prod_1078	shop_003	468	361010.52	0.3631	626	1.3	2025-01-01	month	2025-01-01
sku_11782	prod_1178	shop_001	98	13263.32	0.5771	482	4.9	2025-01-01	month	2025-01-01
sku_11201	prod_1120	shop_003	490	56947.8	0.2542	865	1.8	2025-01-01	month	2025-01-01
sku_10307	prod_1030	shop_003	431	181494.1	0.2776	120	0.3	2025-01-01	month	2025-01-01
sku_11297	prod_1129	shop_003	269	25560.38	0.1637	427	1.6	2025-01-01	month	2025-01-01
sku_10761	prod_1076	shop_001	295	180483.95	0.5977	459	1.6	2025-01-01	month	2025-01-01
sku_10795	prod_1079	shop_001	126	79168.32	0.247	244	1.9	2025-01-01	month	2025-01-01
sku_10378	prod_1037	shop_002	47	43772.04	0.5331	327	6.8	2025-01-01	month	2025-01-01
sku_11874	prod_1187	shop_001	471	207433.11	0.4536	728	1.5	2025-01-01	month	2025-01-01
sku_11507	prod_1150	shop_001	426	407975.94	0.2788	350	0.8	2025-01-01	month	2025-01-01
sku_10185	prod_1018	shop_003	179	26629.83	0.059	241	1.3	2025-01-01	month	2025-01-01
sku_11382	prod_1138	shop_003	171	157944.15	0.093	715	4.2	2025-01-01	month	2025-01-01
sku_10920	prod_1092	shop_003	79	3193.18	0.6997	665	8.3	2025-01-01	month	2025-01-01
sku_11110	prod_1111	shop_002	39	1698.06	0.7152	219	5.5	2025-01-01	month	2025-01-01
sku_11068	prod_1106	shop_003	125	79963.75	0.3601	715	5.7	2025-01-01	month	2025-01-01
sku_10211	prod_1021	shop_003	427	295740.2	0.0811	106	0.2	2025-01-01	month	2025-01-01
sku_11693	prod_1169	shop_002	301	154322.7	0.2566	395	1.3	2025-01-01	month	2025-01-01
sku_10237	prod_1023	shop_003	113	89117.45	0.7741	773	6.8	2025-01-01	month	2025-01-01
sku_10323	prod_1032	shop_002	187	35849.77	0.4831	522	2.8	2025-01-01	month	2025-01-01
sku_10354	prod_1035	shop_002	51	31290.03	0.2699	918	17.7	2025-01-01	month	2025-01-01
sku_11101	prod_1110	shop_002	115	82633.25	0.4438	584	5.0	2025-01-01	month	2025-01-01
sku_10994	prod_1099	shop_002	468	142735.32	0.1862	840	1.8	2025-01-01	month	2025-01-01
sku_11614	prod_1161	shop_003	64	8464.0	0.628	672	10.3	2025-01-01	month	2025-01-01
sku_10163	prod_1016	shop_003	142	96153.88	0.4521	987	6.9	2025-01-01	month	2025-01-01
sku_10167	prod_1016	shop_001	141	116731.08	0.5956	768	5.4	2025-01-01	month	2025-01-01
sku_11056	prod_1105	shop_001	296	43396.56	0.2737	262	0.9	2025-01-01	month	2025-01-01
sku_11475	prod_1147	shop_001	330	318958.2	0.5177	136	0.4	2025-01-01	month	2025-01-01
sku_10099	prod_1009	shop_001	376	75113.52	0.1212	683	1.8	2025-01-01	month	2025-01-01
sku_11347	prod_1134	shop_001	137	13199.95	0.3688	170	1.2	2025-01-01	month	2025-01-01
sku_10865	prod_1086	shop_003	406	152262.18	0.2447	410	1.0	2025-01-01	month	2025-01-01
sku_10288	prod_1028	shop_002	320	311244.8	0.1226	224	0.7	2025-01-01	month	2025-01-01
sku_10136	prod_1013	shop_003	66	10393.02	0.4632	238	3.6	2025-01-01	month	2025-01-01
sku_11293	prod_1129	shop_003	85	11414.65	0.6078	407	4.7	2025-01-01	month	2025-01-01
sku_11353	prod_1135	shop_001	220	98230.0	0.7583	782	3.5	2025-01-01	month	2025-01-01
sku_11604	prod_1160	shop_003	386	265618.18	0.5621	65	0.2	2025-01-01	month	2025-01-01
sku_10161	prod_1016	shop_001	320	91030.4	0.2896	76	0.2	2025-01-01	month	2025-01-01
sku_10454	prod_1045	shop_001	372	359009.76	0.3215	852	2.3	2025-01-01	month	2025-01-01
sku_10078	prod_1007	shop_001	458	305243.26	0.6529	138	0.3	2025-01-01	month	2025-01-01
sku_11646	prod_1164	shop_002	349	28628.47	0.7145	181	0.5	2025-01-01	month	2025-01-01
sku_10209	prod_1020	shop_003	411	125741.34	0.345	167	0.4	2025-01-01	7days	2025-01-01
sku_11750	prod_1175	shop_002	486	269929.26	0.3669	212	0.4	2025-01-01	7days	2025-01-01
sku_11804	prod_1180	shop_003	86	66117.66	0.1211	732	8.4	2025-01-01	7days	2025-01-01
sku_10574	prod_1057	shop_001	330	100465.2	0.4524	633	1.9	2025-01-01	7days	2025-01-01
sku_10592	prod_1059	shop_003	395	57223.65	0.3535	543	1.4	2025-01-01	7days	2025-01-01
sku_11427	prod_1142	shop_003	67	4574.76	0.4109	926	13.6	2025-01-01	7days	2025-01-01
sku_10812	prod_1081	shop_001	210	54434.1	0.2514	719	3.4	2025-01-01	7days	2025-01-01
sku_10683	prod_1068	shop_001	414	102879.0	0.0649	528	1.3	2025-01-01	7days	2025-01-01
sku_11533	prod_1153	shop_001	156	75151.44	0.4658	856	5.5	2025-01-01	7days	2025-01-01
sku_11940	prod_1194	shop_001	269	103731.78	0.2021	258	1.0	2025-01-01	7days	2025-01-01
sku_11914	prod_1191	shop_003	39	1649.31	0.3242	513	12.8	2025-01-01	7days	2025-01-01
sku_10400	prod_1040	shop_001	444	232478.4	0.557	777	1.7	2025-01-01	7days	2025-01-01
sku_11613	prod_1161	shop_002	288	89832.96	0.197	401	1.4	2025-01-01	7days	2025-01-01
sku_10410	prod_1041	shop_002	129	104389.38	0.5983	495	3.8	2025-01-01	7days	2025-01-01
sku_11531	prod_1153	shop_002	414	103814.64	0.6588	718	1.7	2025-01-01	7days	2025-01-01
sku_10132	prod_1013	shop_002	376	208781.52	0.6609	804	2.1	2025-01-01	7days	2025-01-01
sku_10703	prod_1070	shop_003	335	264160.9	0.2715	359	1.1	2025-01-01	7days	2025-01-01
sku_11468	prod_1146	shop_003	257	8773.98	0.2845	744	2.9	2025-01-01	7days	2025-01-01
sku_11528	prod_1152	shop_003	480	152476.8	0.3382	111	0.2	2025-01-01	7days	2025-01-01
sku_10013	prod_1001	shop_002	268	102984.36	0.5135	365	1.4	2025-01-01	7days	2025-01-01
sku_10038	prod_1003	shop_002	353	321628.89	0.4658	105	0.3	2025-01-01	7days	2025-01-01
sku_10870	prod_1087	shop_003	393	386708.07	0.6278	863	2.2	2025-01-01	7days	2025-01-01
sku_10905	prod_1090	shop_003	360	111438.0	0.379	202	0.6	2025-01-01	7days	2025-01-01
sku_11200	prod_1120	shop_001	477	378437.49	0.2562	121	0.3	2025-01-01	7days	2025-01-01
sku_11315	prod_1131	shop_003	140	31355.8	0.4185	168	1.2	2025-01-01	7days	2025-01-01
sku_11582	prod_1158	shop_002	303	158278.11	0.1204	83	0.3	2025-01-01	7days	2025-01-01
sku_10298	prod_1029	shop_002	120	31774.8	0.6462	73	0.6	2025-01-01	7days	2025-01-01
sku_10338	prod_1033	shop_002	397	297301.39	0.0524	515	1.3	2025-01-01	7days	2025-01-01
sku_10252	prod_1025	shop_003	104	47048.56	0.2279	301	2.9	2025-01-01	7days	2025-01-01
sku_10697	prod_1069	shop_002	442	411227.96	0.6791	974	2.2	2025-01-01	7days	2025-01-01
sku_10108	prod_1010	shop_001	323	112039.01	0.1681	148	0.5	2025-01-01	7days	2025-01-01
sku_11345	prod_1134	shop_003	68	50424.04	0.6878	687	10.0	2025-01-01	7days	2025-01-01
sku_10009	prod_1000	shop_001	207	13382.55	0.6806	900	4.3	2025-01-01	7days	2025-01-01
sku_11687	prod_1168	shop_002	49	9170.84	0.2205	377	7.5	2025-01-01	7days	2025-01-01
sku_10138	prod_1013	shop_001	296	295849.04	0.531	780	2.6	2025-01-01	7days	2025-01-01
sku_10848	prod_1084	shop_003	438	227961.48	0.3979	646	1.5	2025-01-01	7days	2025-01-01
sku_10988	prod_1098	shop_001	165	32712.9	0.3133	182	1.1	2025-01-01	7days	2025-01-01
sku_11698	prod_1169	shop_001	377	115222.51	0.1542	726	1.9	2025-01-01	7days	2025-01-01
sku_10294	prod_1029	shop_001	360	122400.0	0.2159	981	2.7	2025-01-01	7days	2025-01-01
sku_11073	prod_1107	shop_003	392	250264.56	0.4655	945	2.4	2025-01-01	7days	2025-01-01
sku_11695	prod_1169	shop_003	398	76324.46	0.4698	177	0.4	2025-01-01	7days	2025-01-01
sku_10879	prod_1087	shop_001	337	211582.08	0.245	178	0.5	2025-01-01	7days	2025-01-01
sku_11650	prod_1165	shop_002	75	27333.0	0.1039	208	2.7	2025-01-01	7days	2025-01-01
sku_11739	prod_1173	shop_001	160	118433.6	0.4199	790	4.9	2025-01-01	7days	2025-01-01
sku_11318	prod_1131	shop_003	139	136737.08	0.2305	780	5.6	2025-01-01	7days	2025-01-01
sku_10560	prod_1056	shop_002	91	50647.87	0.306	982	10.7	2025-01-01	7days	2025-01-01
sku_10715	prod_1071	shop_003	94	72458.02	0.4378	870	9.2	2025-01-01	7days	2025-01-01
sku_11219	prod_1121	shop_003	181	142423.47	0.7297	819	4.5	2025-01-01	7days	2025-01-01
sku_10587	prod_1058	shop_002	296	184023.2	0.3395	310	1.0	2025-01-01	7days	2025-01-01
sku_11309	prod_1130	shop_003	343	42092.96	0.4293	777	2.3	2025-01-01	7days	2025-01-01
sku_10824	prod_1082	shop_001	278	79583.06	0.1524	218	0.8	2025-01-01	30days	2025-01-01
sku_11175	prod_1117	shop_002	442	110517.68	0.5231	328	0.7	2025-01-01	30days	2025-01-01
sku_10836	prod_1083	shop_002	242	241128.8	0.4567	397	1.6	2025-01-01	30days	2025-01-01
sku_10328	prod_1032	shop_001	44	16805.8	0.1905	725	16.1	2025-01-01	30days	2025-01-01
sku_10977	prod_1097	shop_001	186	14011.38	0.3233	348	1.9	2025-01-01	30days	2025-01-01
sku_10572	prod_1057	shop_002	181	16018.5	0.1854	68	0.4	2025-01-01	30days	2025-01-01
sku_10878	prod_1087	shop_001	204	25393.92	0.6195	663	3.2	2025-01-01	30days	2025-01-01
sku_11086	prod_1108	shop_002	360	170424.0	0.3982	750	2.1	2025-01-01	30days	2025-01-01
sku_11741	prod_1174	shop_001	154	99008.14	0.0761	910	5.9	2025-01-01	30days	2025-01-01
sku_10244	prod_1024	shop_001	206	70474.66	0.514	810	3.9	2025-01-01	30days	2025-01-01
sku_10912	prod_1091	shop_002	232	183293.92	0.1022	684	2.9	2025-01-01	30days	2025-01-01
sku_10942	prod_1094	shop_001	313	187674.8	0.3367	871	2.8	2025-01-01	30days	2025-01-01
sku_10599	prod_1059	shop_001	47	32885.9	0.7619	499	10.4	2025-01-01	30days	2025-01-01
sku_11908	prod_1190	shop_003	357	86483.25	0.7503	345	1.0	2025-01-01	30days	2025-01-01
sku_10863	prod_1086	shop_003	196	119877.52	0.7326	168	0.9	2025-01-01	30days	2025-01-01
sku_10855	prod_1085	shop_002	375	206167.5	0.6351	775	2.1	2025-01-01	30days	2025-01-01
sku_10743	prod_1074	shop_001	276	209415.0	0.7811	182	0.7	2025-01-01	30days	2025-01-01
sku_11247	prod_1124	shop_001	310	270701.3	0.3232	230	0.7	2025-01-01	30days	2025-01-01
sku_11631	prod_1163	shop_002	283	229119.63	0.6503	923	3.2	2025-01-01	30days	2025-01-01
sku_11456	prod_1145	shop_001	252	25207.56	0.4617	379	1.5	2025-01-01	30days	2025-01-01
sku_10074	prod_1007	shop_001	419	383016.28	0.346	761	1.8	2025-01-01	30days	2025-01-01
sku_10141	prod_1014	shop_002	401	377445.26	0.3288	652	1.6	2025-01-01	30days	2025-01-01
sku_11972	prod_1197	shop_001	464	452618.08	0.2443	581	1.2	2025-01-01	30days	2025-01-01
sku_10046	prod_1004	shop_002	13	1917.5	0.7359	139	9.9	2025-01-01	30days	2025-01-01
sku_10702	prod_1070	shop_002	224	127169.28	0.3175	733	3.3	2025-01-01	30days	2025-01-01
sku_10869	prod_1086	shop_001	139	35221.21	0.477	154	1.1	2025-01-01	30days	2025-01-01
sku_10202	prod_1020	shop_003	413	249109.21	0.1404	951	2.3	2025-01-01	30days	2025-01-01
sku_11315	prod_1131	shop_003	236	32624.64	0.4111	216	0.9	2025-01-01	30days	2025-01-01
sku_10749	prod_1074	shop_003	463	248436.54	0.3788	765	1.6	2025-01-01	30days	2025-01-01
sku_10694	prod_1069	shop_002	132	94109.4	0.3017	725	5.5	2025-01-01	30days	2025-01-01
sku_11270	prod_1127	shop_003	212	107140.56	0.6286	84	0.4	2025-01-01	30days	2025-01-01
sku_11570	prod_1157	shop_001	442	54975.96	0.4177	638	1.4	2025-01-01	30days	2025-01-01
sku_11984	prod_1198	shop_001	406	132965.0	0.1399	664	1.6	2025-01-01	30days	2025-01-01
sku_10497	prod_1049	shop_003	30	21393.9	0.7162	795	25.6	2025-01-01	30days	2025-01-01
sku_11388	prod_1138	shop_003	322	214754.68	0.209	863	2.7	2025-01-01	30days	2025-01-01
sku_10973	prod_1097	shop_001	241	84024.65	0.2388	877	3.6	2025-01-01	30days	2025-01-01
sku_10924	prod_1092	shop_002	354	317049.48	0.1602	120	0.3	2025-01-01	30days	2025-01-01
sku_10360	prod_1036	shop_003	153	134638.47	0.6808	109	0.7	2025-01-01	30days	2025-01-01
sku_11204	prod_1120	shop_002	320	298931.2	0.241	135	0.4	2025-01-01	30days	2025-01-01
sku_11876	prod_1187	shop_001	249	108061.02	0.4082	821	3.3	2025-01-01	30days	2025-01-01
sku_11379	prod_1137	shop_001	412	93322.12	0.689	535	1.3	2025-01-01	30days	2025-01-01
sku_10023	prod_1002	shop_002	345	135281.4	0.4535	617	1.8	2025-01-01	30days	2025-01-01
sku_11145	prod_1114	shop_003	31	23205.36	0.774	626	19.6	2025-01-01	30days	2025-01-01
sku_11856	prod_1185	shop_002	374	95078.28	0.0905	687	1.8	2025-01-01	30days	2025-01-01
sku_11274	prod_1127	shop_002	390	11200.8	0.4803	878	2.2	2025-01-01	30days	2025-01-01
sku_10120	prod_1012	shop_002	293	158237.58	0.4386	96	0.3	2025-01-01	30days	2025-01-01
sku_10680	prod_1068	shop_003	436	165584.08	0.6242	778	1.8	2025-01-01	30days	2025-01-01
sku_10035	prod_1003	shop_002	162	79640.82	0.2651	986	6.0	2025-01-01	30days	2025-01-01
sku_11058	prod_1105	shop_003	478	234157.86	0.5156	638	1.3	2025-01-01	30days	2025-01-01
sku_11812	prod_1181	shop_001	148	41873.64	0.4538	342	2.3	2025-01-01	30days	2025-01-01
sku_11552	prod_1155	shop_001	212	5437.8	0.0829	59	0.3	2025-01-02	day	2025-01-02
sku_11488	prod_1148	shop_002	246	96574.68	0.6023	583	2.4	2025-01-02	day	2025-01-02
sku_11565	prod_1156	shop_003	174	101066.16	0.0783	394	2.3	2025-01-02	day	2025-01-02
sku_10828	prod_1082	shop_003	217	144973.36	0.3501	302	1.4	2025-01-02	day	2025-01-02
sku_10457	prod_1045	shop_002	231	79048.2	0.1458	106	0.5	2025-01-02	day	2025-01-02
sku_11582	prod_1158	shop_001	247	188759.87	0.5074	955	3.9	2025-01-02	day	2025-01-02
sku_11368	prod_1136	shop_003	494	46391.54	0.6654	294	0.6	2025-01-02	day	2025-01-02
sku_11971	prod_1197	shop_002	302	127289.98	0.3996	230	0.8	2025-01-02	day	2025-01-02
sku_10106	prod_1010	shop_002	442	75524.54	0.1176	532	1.2	2025-01-02	day	2025-01-02
sku_11363	prod_1136	shop_002	442	184623.4	0.4132	688	1.6	2025-01-02	day	2025-01-02
sku_11975	prod_1197	shop_001	392	379797.04	0.1487	275	0.7	2025-01-02	day	2025-01-02
sku_11350	prod_1135	shop_001	139	12623.98	0.6083	247	1.8	2025-01-02	day	2025-01-02
sku_11777	prod_1177	shop_001	442	334218.3	0.4695	330	0.7	2025-01-02	day	2025-01-02
sku_11012	prod_1101	shop_003	109	5287.59	0.2245	462	4.2	2025-01-02	day	2025-01-02
sku_10195	prod_1019	shop_002	418	160566.34	0.7811	208	0.5	2025-01-02	day	2025-01-02
sku_10173	prod_1017	shop_002	35	14029.4	0.7636	922	25.6	2025-01-02	day	2025-01-02
sku_11184	prod_1118	shop_001	205	161640.45	0.1077	588	2.9	2025-01-02	day	2025-01-02
sku_11051	prod_1105	shop_003	244	121058.16	0.2661	319	1.3	2025-01-02	day	2025-01-02
sku_11376	prod_1137	shop_001	59	4095.78	0.2691	533	8.9	2025-01-02	day	2025-01-02
sku_11241	prod_1124	shop_003	95	53740.55	0.7121	387	4.0	2025-01-02	day	2025-01-02
