product_id	shop_id	visitor_count	pay_buyer_count	pay_conversion_rate	data_dt	time_type	dt
prod_1433	shop_002	7111	533	0.075	2025-01-01	day	2025-01-01
prod_1156	shop_002	3668	399	0.1088	2025-01-01	day	2025-01-01
prod_1058	shop_003	9613	152	0.0158	2025-01-01	day	2025-01-01
prod_1221	shop_002	3923	936	0.2386	2025-01-01	day	2025-01-01
prod_1431	shop_002	7043	1621	0.2302	2025-01-01	day	2025-01-01
prod_1236	shop_003	885	223	0.252	2025-01-01	day	2025-01-01
prod_1298	shop_002	5135	1058	0.206	2025-01-01	day	2025-01-01
prod_1079	shop_001	1485	98	0.066	2025-01-01	day	2025-01-01
prod_1125	shop_001	606	37	0.0611	2025-01-01	day	2025-01-01
prod_1137	shop_002	4061	346	0.0852	2025-01-01	day	2025-01-01
prod_1474	shop_001	1863	293	0.1573	2025-01-01	day	2025-01-01
prod_1061	shop_002	1112	315	0.2833	2025-01-01	day	2025-01-01
prod_1419	shop_001	7948	1239	0.1559	2025-01-01	day	2025-01-01
prod_1467	shop_001	6701	1210	0.1806	2025-01-01	day	2025-01-01
prod_1290	shop_002	7775	2182	0.2806	2025-01-01	week	2025-01-01
prod_1343	shop_002	5909	719	0.1217	2025-01-01	week	2025-01-01
prod_1076	shop_001	2678	315	0.1176	2025-01-01	week	2025-01-01
prod_1223	shop_002	7332	2180	0.2973	2025-01-01	week	2025-01-01
prod_1336	shop_003	472	112	0.2373	2025-01-01	week	2025-01-01
prod_1116	shop_001	499	43	0.0862	2025-01-01	week	2025-01-01
prod_1279	shop_001	3786	927	0.2448	2025-01-01	week	2025-01-01
prod_1105	shop_002	3231	823	0.2547	2025-01-01	week	2025-01-01
prod_1169	shop_001	1735	143	0.0824	2025-01-01	week	2025-01-01
prod_1373	shop_003	8092	1780	0.22	2025-01-01	week	2025-01-01
prod_1467	shop_001	4183	983	0.235	2025-01-01	week	2025-01-01
prod_1135	shop_003	7348	323	0.044	2025-01-01	week	2025-01-01
prod_1403	shop_003	1261	331	0.2625	2025-01-01	week	2025-01-01
prod_1391	shop_001	6370	63	0.0099	2025-01-01	week	2025-01-01
prod_1367	shop_001	3224	308	0.0955	2025-01-01	week	2025-01-01
prod_1036	shop_002	6561	1189	0.1812	2025-01-01	week	2025-01-01
prod_1186	shop_001	8345	1755	0.2103	2025-01-01	week	2025-01-01
prod_1128	shop_001	8209	2038	0.2483	2025-01-01	week	2025-01-01
prod_1073	shop_002	2410	59	0.0245	2025-01-01	week	2025-01-01
prod_1498	shop_003	4309	258	0.0599	2025-01-01	week	2025-01-01
prod_1325	shop_003	4318	316	0.0732	2025-01-01	week	2025-01-01
prod_1442	shop_003	2635	707	0.2683	2025-01-01	week	2025-01-01
prod_1229	shop_003	7406	86	0.0116	2025-01-01	week	2025-01-01
prod_1018	shop_003	9242	97	0.0105	2025-01-01	week	2025-01-01
prod_1423	shop_001	776	10	0.0129	2025-01-01	week	2025-01-01
prod_1351	shop_001	252	64	0.254	2025-01-01	week	2025-01-01
prod_1362	shop_001	8930	272	0.0305	2025-01-01	week	2025-01-01
prod_1461	shop_002	1908	234	0.1226	2025-01-01	week	2025-01-01
prod_1201	shop_003	8476	938	0.1107	2025-01-01	week	2025-01-01
prod_1071	shop_002	3936	159	0.0404	2025-01-01	week	2025-01-01
prod_1293	shop_001	5643	626	0.1109	2025-01-01	week	2025-01-01
prod_1216	shop_001	7485	1125	0.1503	2025-01-01	week	2025-01-01
prod_1341	shop_001	6169	274	0.0444	2025-01-01	week	2025-01-01
prod_1240	shop_001	7377	1055	0.143	2025-01-01	week	2025-01-01
prod_1342	shop_002	7492	2159	0.2882	2025-01-01	week	2025-01-01
prod_1332	shop_002	2265	34	0.015	2025-01-01	week	2025-01-01
prod_1470	shop_001	3924	682	0.1738	2025-01-01	week	2025-01-01
prod_1239	shop_001	1681	56	0.0333	2025-01-01	week	2025-01-01
prod_1042	shop_002	3614	616	0.1704	2025-01-01	week	2025-01-01
prod_1450	shop_001	7666	1488	0.1941	2025-01-01	week	2025-01-01
prod_1214	shop_003	7303	2121	0.2904	2025-01-01	week	2025-01-01
prod_1328	shop_003	6226	52	0.0084	2025-01-01	week	2025-01-01
prod_1195	shop_001	9883	1741	0.1762	2025-01-01	week	2025-01-01
prod_1487	shop_001	8475	1194	0.1409	2025-01-01	week	2025-01-01
prod_1012	shop_002	3177	466	0.1467	2025-01-01	week	2025-01-01
prod_1428	shop_001	9129	2021	0.2214	2025-01-01	week	2025-01-01
prod_1164	shop_003	2356	18	0.0076	2025-01-01	week	2025-01-01
prod_1354	shop_001	4393	1270	0.2891	2025-01-01	week	2025-01-01
prod_1257	shop_002	2924	93	0.0318	2025-01-01	week	2025-01-01
prod_1095	shop_002	8204	2236	0.2725	2025-01-01	week	2025-01-01
prod_1043	shop_003	6982	577	0.0826	2025-01-01	month	2025-01-01
prod_1255	shop_002	2171	95	0.0438	2025-01-01	month	2025-01-01
prod_1055	shop_003	7602	1578	0.2076	2025-01-01	month	2025-01-01
prod_1178	shop_002	6824	1176	0.1723	2025-01-01	month	2025-01-01
prod_1186	shop_003	8347	1961	0.2349	2025-01-01	month	2025-01-01
prod_1171	shop_002	9327	2332	0.25	2025-01-01	month	2025-01-01
prod_1018	shop_002	1267	150	0.1184	2025-01-01	month	2025-01-01
prod_1363	shop_001	1262	245	0.1941	2025-01-01	month	2025-01-01
prod_1117	shop_002	1939	557	0.2873	2025-01-01	month	2025-01-01
prod_1077	shop_003	2306	22	0.0095	2025-01-01	month	2025-01-01
prod_1094	shop_001	8313	1085	0.1305	2025-01-01	month	2025-01-01
prod_1147	shop_001	7112	836	0.1175	2025-01-01	month	2025-01-01
prod_1172	shop_001	7112	1787	0.2513	2025-01-01	month	2025-01-01
prod_1281	shop_002	2763	345	0.1249	2025-01-01	month	2025-01-01
prod_1165	shop_003	1626	213	0.131	2025-01-01	month	2025-01-01
prod_1488	shop_002	9619	147	0.0153	2025-01-01	month	2025-01-01
prod_1160	shop_003	2374	601	0.2532	2025-01-01	month	2025-01-01
prod_1354	shop_001	3624	139	0.0384	2025-01-01	month	2025-01-01
prod_1392	shop_003	9265	2512	0.2711	2025-01-01	month	2025-01-01
prod_1299	shop_003	5923	1056	0.1783	2025-01-01	month	2025-01-01
prod_1351	shop_002	7667	2000	0.2609	2025-01-01	month	2025-01-01
prod_1258	shop_003	1586	172	0.1084	2025-01-01	month	2025-01-01
prod_1173	shop_003	3939	339	0.0861	2025-01-01	month	2025-01-01
prod_1079	shop_001	8430	2402	0.2849	2025-01-01	month	2025-01-01
prod_1050	shop_001	5466	1389	0.2541	2025-01-01	month	2025-01-01
prod_1487	shop_001	3918	428	0.1092	2025-01-01	month	2025-01-01
prod_1063	shop_002	8635	1928	0.2233	2025-01-01	month	2025-01-01
prod_1364	shop_003	2668	744	0.2789	2025-01-01	month	2025-01-01
prod_1015	shop_001	4424	331	0.0748	2025-01-01	month	2025-01-01
prod_1151	shop_003	9819	2646	0.2695	2025-01-01	month	2025-01-01
prod_1078	shop_003	9440	441	0.0467	2025-01-01	month	2025-01-01
prod_1088	shop_001	6620	1806	0.2728	2025-01-01	month	2025-01-01
prod_1462	shop_001	3568	585	0.164	2025-01-01	month	2025-01-01
prod_1134	shop_002	9492	1337	0.1409	2025-01-01	month	2025-01-01
prod_1082	shop_001	2063	245	0.1188	2025-01-01	month	2025-01-01
prod_1183	shop_003	6432	789	0.1227	2025-01-01	month	2025-01-01
prod_1132	shop_003	6532	1242	0.1901	2025-01-01	month	2025-01-01
prod_1453	shop_001	1160	152	0.131	2025-01-01	month	2025-01-01
prod_1373	shop_001	6874	906	0.1318	2025-01-01	month	2025-01-01
prod_1306	shop_003	669	25	0.0374	2025-01-01	month	2025-01-01
prod_1379	shop_003	4636	265	0.0572	2025-01-01	month	2025-01-01
prod_1298	shop_002	8032	1689	0.2103	2025-01-01	month	2025-01-01
prod_1058	shop_001	754	191	0.2533	2025-01-01	month	2025-01-01
prod_1028	shop_001	7173	475	0.0662	2025-01-01	month	2025-01-01
prod_1280	shop_003	4946	973	0.1967	2025-01-01	month	2025-01-01
prod_1080	shop_002	3499	88	0.0252	2025-01-01	month	2025-01-01
prod_1210	shop_001	3276	495	0.1511	2025-01-01	month	2025-01-01
prod_1262	shop_002	2509	359	0.1431	2025-01-01	month	2025-01-01
prod_1101	shop_003	3217	825	0.2565	2025-01-01	month	2025-01-01
prod_1353	shop_003	2424	706	0.2913	2025-01-01	month	2025-01-01
prod_1489	shop_002	7652	2273	0.297	2025-01-01	7days	2025-01-01
prod_1423	shop_002	5564	118	0.0212	2025-01-01	7days	2025-01-01
prod_1385	shop_002	6278	143	0.0228	2025-01-01	7days	2025-01-01
prod_1285	shop_001	381	93	0.2441	2025-01-01	7days	2025-01-01
prod_1001	shop_001	4613	581	0.1259	2025-01-01	7days	2025-01-01
prod_1275	shop_003	8832	286	0.0324	2025-01-01	7days	2025-01-01
prod_1243	shop_001	9949	1548	0.1556	2025-01-01	7days	2025-01-01
prod_1065	shop_003	7301	237	0.0325	2025-01-01	7days	2025-01-01
prod_1230	shop_003	4182	1147	0.2743	2025-01-01	7days	2025-01-01
prod_1475	shop_001	5389	478	0.0887	2025-01-01	7days	2025-01-01
prod_1368	shop_003	9356	1099	0.1175	2025-01-01	7days	2025-01-01
prod_1109	shop_001	6747	1626	0.241	2025-01-01	7days	2025-01-01
prod_1167	shop_002	7706	1309	0.1699	2025-01-01	7days	2025-01-01
prod_1206	shop_002	7668	216	0.0282	2025-01-01	7days	2025-01-01
prod_1404	shop_002	369	82	0.2222	2025-01-01	7days	2025-01-01
prod_1209	shop_003	2101	306	0.1456	2025-01-01	7days	2025-01-01
prod_1445	shop_001	8634	1599	0.1852	2025-01-01	7days	2025-01-01
prod_1174	shop_001	1426	83	0.0582	2025-01-01	7days	2025-01-01
prod_1244	shop_002	8041	2038	0.2535	2025-01-01	7days	2025-01-01
prod_1488	shop_001	5229	405	0.0775	2025-01-01	7days	2025-01-01
prod_1056	shop_003	5925	1135	0.1916	2025-01-01	7days	2025-01-01
prod_1304	shop_003	8295	918	0.1107	2025-01-01	7days	2025-01-01
prod_1048	shop_001	6648	238	0.0358	2025-01-01	7days	2025-01-01
prod_1071	shop_003	7502	325	0.0433	2025-01-01	7days	2025-01-01
prod_1108	shop_002	8878	264	0.0297	2025-01-01	7days	2025-01-01
prod_1170	shop_001	3078	813	0.2641	2025-01-01	7days	2025-01-01
prod_1274	shop_001	913	146	0.1599	2025-01-01	7days	2025-01-01
prod_1122	shop_003	5952	1174	0.1972	2025-01-01	7days	2025-01-01
prod_1311	shop_002	9340	2477	0.2652	2025-01-01	7days	2025-01-01
prod_1031	shop_003	3222	353	0.1096	2025-01-01	7days	2025-01-01
prod_1044	shop_001	2677	28	0.0105	2025-01-01	7days	2025-01-01
prod_1211	shop_003	8916	1550	0.1738	2025-01-01	7days	2025-01-01
prod_1009	shop_003	5335	254	0.0476	2025-01-01	7days	2025-01-01
prod_1329	shop_001	2923	796	0.2723	2025-01-01	7days	2025-01-01
prod_1184	shop_002	7214	1996	0.2767	2025-01-01	7days	2025-01-01
prod_1498	shop_003	6676	1364	0.2043	2025-01-01	7days	2025-01-01
prod_1350	shop_002	3273	956	0.2921	2025-01-01	7days	2025-01-01
prod_1111	shop_002	8974	1352	0.1507	2025-01-01	7days	2025-01-01
prod_1428	shop_002	4470	1059	0.2369	2025-01-01	7days	2025-01-01
prod_1405	shop_002	9818	2716	0.2766	2025-01-01	7days	2025-01-01
prod_1361	shop_003	2624	483	0.1841	2025-01-01	7days	2025-01-01
prod_1290	shop_002	4267	660	0.1547	2025-01-01	7days	2025-01-01
prod_1092	shop_003	3596	900	0.2503	2025-01-01	7days	2025-01-01
prod_1078	shop_003	342	71	0.2076	2025-01-01	7days	2025-01-01
prod_1367	shop_002	6585	407	0.0618	2025-01-01	7days	2025-01-01
prod_1400	shop_002	9786	2489	0.2543	2025-01-01	7days	2025-01-01
prod_1295	shop_002	3518	879	0.2499	2025-01-01	7days	2025-01-01
prod_1049	shop_002	3243	397	0.1224	2025-01-01	7days	2025-01-01
prod_1306	shop_002	6610	527	0.0797	2025-01-01	7days	2025-01-01
prod_1418	shop_002	3993	327	0.0819	2025-01-01	7days	2025-01-01
prod_1450	shop_001	3496	1031	0.2949	2025-01-01	30days	2025-01-01
prod_1262	shop_001	8750	926	0.1058	2025-01-01	30days	2025-01-01
prod_1105	shop_001	2569	52	0.0202	2025-01-01	30days	2025-01-01
prod_1032	shop_001	6792	1958	0.2883	2025-01-01	30days	2025-01-01
prod_1048	shop_003	8027	1442	0.1796	2025-01-01	30days	2025-01-01
prod_1197	shop_003	2768	749	0.2706	2025-01-01	30days	2025-01-01
prod_1483	shop_003	3710	317	0.0854	2025-01-01	30days	2025-01-01
prod_1408	shop_002	1471	396	0.2692	2025-01-01	30days	2025-01-01
prod_1479	shop_002	5122	1292	0.2522	2025-01-01	30days	2025-01-01
prod_1012	shop_001	2484	660	0.2657	2025-01-01	30days	2025-01-01
prod_1378	shop_001	4497	1111	0.2471	2025-01-01	30days	2025-01-01
prod_1030	shop_003	6358	1788	0.2812	2025-01-01	30days	2025-01-01
prod_1205	shop_001	5938	1092	0.1839	2025-01-01	30days	2025-01-01
prod_1478	shop_002	672	92	0.1369	2025-01-01	30days	2025-01-01
prod_1060	shop_001	1490	343	0.2302	2025-01-01	30days	2025-01-01
prod_1399	shop_001	8392	2288	0.2726	2025-01-01	30days	2025-01-01
prod_1087	shop_001	8431	1677	0.1989	2025-01-01	30days	2025-01-01
prod_1379	shop_002	1891	404	0.2136	2025-01-01	30days	2025-01-01
prod_1210	shop_003	2370	295	0.1245	2025-01-01	30days	2025-01-01
prod_1263	shop_001	4005	323	0.0806	2025-01-01	30days	2025-01-01
prod_1057	shop_001	530	77	0.1453	2025-01-01	30days	2025-01-01
prod_1493	shop_002	4185	317	0.0757	2025-01-01	30days	2025-01-01
prod_1044	shop_003	6524	994	0.1524	2025-01-01	30days	2025-01-01
prod_1269	shop_003	7187	922	0.1283	2025-01-01	30days	2025-01-01
prod_1178	shop_001	5962	1451	0.2434	2025-01-01	30days	2025-01-01
prod_1422	shop_002	1748	59	0.0338	2025-01-01	30days	2025-01-01
prod_1134	shop_001	4039	385	0.0953	2025-01-01	30days	2025-01-01
prod_1183	shop_003	363	21	0.0579	2025-01-01	30days	2025-01-01
prod_1059	shop_001	4347	941	0.2165	2025-01-01	30days	2025-01-01
prod_1096	shop_002	3354	246	0.0733	2025-01-01	30days	2025-01-01
prod_1440	shop_002	944	70	0.0742	2025-01-01	30days	2025-01-01
prod_1144	shop_001	4216	281	0.0667	2025-01-01	30days	2025-01-01
prod_1463	shop_002	4024	1076	0.2674	2025-01-01	30days	2025-01-01
prod_1029	shop_002	8463	2362	0.2791	2025-01-01	30days	2025-01-01
prod_1187	shop_002	6569	725	0.1104	2025-01-01	30days	2025-01-01
prod_1394	shop_002	4183	581	0.1389	2025-01-01	30days	2025-01-01
prod_1476	shop_003	1072	237	0.2211	2025-01-01	30days	2025-01-01
prod_1307	shop_003	2017	463	0.2295	2025-01-01	30days	2025-01-01
prod_1457	shop_002	298	12	0.0403	2025-01-01	30days	2025-01-01
prod_1346	shop_002	334	49	0.1467	2025-01-01	30days	2025-01-01
prod_1084	shop_001	4033	576	0.1428	2025-01-01	30days	2025-01-01
prod_1433	shop_002	3836	369	0.0962	2025-01-01	30days	2025-01-01
prod_1091	shop_001	3126	367	0.1174	2025-01-01	30days	2025-01-01
prod_1072	shop_002	738	100	0.1355	2025-01-01	30days	2025-01-01
prod_1031	shop_003	4746	1401	0.2952	2025-01-01	30days	2025-01-01
prod_1429	shop_003	9903	2128	0.2149	2025-01-01	30days	2025-01-01
prod_1444	shop_003	8522	359	0.0421	2025-01-01	30days	2025-01-01
prod_1344	shop_003	610	121	0.1984	2025-01-01	30days	2025-01-01
prod_1465	shop_002	7166	480	0.067	2025-01-01	30days	2025-01-01
prod_1411	shop_002	6029	1299	0.2155	2025-01-01	30days	2025-01-01
prod_1268	shop_002	8136	744	0.0914	2025-01-02	day	2025-01-02
prod_1259	shop_003	9216	1609	0.1746	2025-01-02	day	2025-01-02
prod_1010	shop_001	811	162	0.1998	2025-01-02	day	2025-01-02
prod_1483	shop_001	9030	2648	0.2932	2025-01-02	day	2025-01-02
prod_1241	shop_001	3369	283	0.084	2025-01-02	day	2025-01-02
prod_1445	shop_002	3304	590	0.1786	2025-01-02	day	2025-01-02
prod_1127	shop_001	5239	594	0.1134	2025-01-02	day	2025-01-02
prod_1137	shop_003	636	162	0.2547	2025-01-02	day	2025-01-02
prod_1134	shop_002	7720	2014	0.2609	2025-01-02	day	2025-01-02
prod_1380	shop_002	6460	84	0.013	2025-01-02	day	2025-01-02
prod_1276	shop_001	1044	119	0.114	2025-01-02	day	2025-01-02
prod_1308	shop_002	8491	1260	0.1484	2025-01-02	day	2025-01-02
prod_1251	shop_003	6757	666	0.0986	2025-01-02	day	2025-01-02
prod_1135	shop_002	4606	805	0.1748	2025-01-02	day	2025-01-02
prod_1449	shop_002	6185	905	0.1463	2025-01-02	day	2025-01-02
prod_1159	shop_001	6004	1310	0.2182	2025-01-02	day	2025-01-02
prod_1446	shop_003	840	39	0.0464	2025-01-02	day	2025-01-02
prod_1048	shop_002	906	105	0.1159	2025-01-02	day	2025-01-02
prod_1332	shop_003	5674	1194	0.2104	2025-01-02	day	2025-01-02
prod_1003	shop_002	8166	938	0.1149	2025-01-02	day	2025-01-02
prod_1132	shop_003	1322	94	0.0711	2025-01-02	day	2025-01-02
prod_1078	shop_001	9764	548	0.0561	2025-01-02	day	2025-01-02
prod_1393	shop_003	9546	2344	0.2455	2025-01-02	day	2025-01-02
prod_1114	shop_003	9381	1752	0.1868	2025-01-02	day	2025-01-02
prod_1018	shop_003	2151	225	0.1046	2025-01-02	day	2025-01-02
prod_1462	shop_001	2962	369	0.1246	2025-01-02	day	2025-01-02
prod_1288	shop_003	1421	107	0.0753	2025-01-02	day	2025-01-02
prod_1194	shop_003	1550	390	0.2516	2025-01-02	day	2025-01-02
prod_1348	shop_001	5064	356	0.0703	2025-01-02	day	2025-01-02
prod_1370	shop_002	2827	692	0.2448	2025-01-02	day	2025-01-02
prod_1032	shop_003	2891	807	0.2791	2025-01-02	day	2025-01-02
prod_1286	shop_002	7867	469	0.0596	2025-01-02	day	2025-01-02
prod_1190	shop_002	4256	85	0.02	2025-01-02	day	2025-01-02
prod_1407	shop_001	3963	586	0.1479	2025-01-02	day	2025-01-02
prod_1188	shop_002	6346	885	0.1395	2025-01-02	day	2025-01-02
prod_1160	shop_002	8768	1574	0.1795	2025-01-02	day	2025-01-02
prod_1371	shop_002	3065	298	0.0972	2025-01-02	day	2025-01-02
prod_1242	shop_002	5229	1379	0.2637	2025-01-02	day	2025-01-02
prod_1099	shop_002	9047	2714	0.3	2025-01-02	day	2025-01-02
prod_1206	shop_001	4178	819	0.196	2025-01-02	day	2025-01-02
prod_1081	shop_001	3417	120	0.0351	2025-01-02	day	2025-01-02
prod_1273	shop_003	3162	230	0.0727	2025-01-02	day	2025-01-02
prod_1414	shop_002	3204	961	0.2999	2025-01-02	day	2025-01-02
prod_1486	shop_003	2402	193	0.0803	2025-01-02	day	2025-01-02
prod_1430	shop_003	7768	1412	0.1818	2025-01-02	day	2025-01-02
prod_1211	shop_003	5944	1380	0.2322	2025-01-02	day	2025-01-02
prod_1422	shop_003	7758	467	0.0602	2025-01-02	day	2025-01-02
prod_1303	shop_003	9963	2092	0.21	2025-01-02	day	2025-01-02
prod_1357	shop_003	1308	162	0.1239	2025-01-02	day	2025-01-02
prod_1077	shop_001	9110	612	0.0672	2025-01-02	day	2025-01-02
prod_1473	shop_001	4951	57	0.0115	2025-01-02	week	2025-01-02
prod_1065	shop_003	1581	105	0.0664	2025-01-02	week	2025-01-02
prod_1248	shop_003	979	105	0.1073	2025-01-02	week	2025-01-02
prod_1181	shop_002	3988	265	0.0664	2025-01-02	week	2025-01-02
prod_1429	shop_002	5263	798	0.1516	2025-01-02	week	2025-01-02
prod_1336	shop_002	8104	430	0.0531	2025-01-02	week	2025-01-02
prod_1389	shop_002	8363	2460	0.2942	2025-01-02	week	2025-01-02
prod_1262	shop_003	2517	595	0.2364	2025-01-02	week	2025-01-02
prod_1224	shop_003	9401	1859	0.1977	2025-01-02	week	2025-01-02
prod_1048	shop_003	2692	337	0.1252	2025-01-02	week	2025-01-02
prod_1139	shop_001	3678	192	0.0522	2025-01-02	week	2025-01-02
prod_1394	shop_002	3151	809	0.2567	2025-01-02	week	2025-01-02
prod_1288	shop_003	9138	664	0.0727	2025-01-02	week	2025-01-02
prod_1217	shop_003	368	43	0.1168	2025-01-02	week	2025-01-02
prod_1282	shop_001	1803	271	0.1503	2025-01-02	week	2025-01-02
prod_1410	shop_003	1458	240	0.1646	2025-01-02	week	2025-01-02
prod_1107	shop_002	7098	1185	0.1669	2025-01-02	week	2025-01-02
prod_1136	shop_003	1578	161	0.102	2025-01-02	week	2025-01-02
prod_1219	shop_002	6073	134	0.0221	2025-01-02	week	2025-01-02
prod_1434	shop_002	7245	593	0.0818	2025-01-02	week	2025-01-02
prod_1400	shop_003	3173	91	0.0287	2025-01-02	week	2025-01-02
prod_1304	shop_002	7190	1975	0.2747	2025-01-02	week	2025-01-02
prod_1052	shop_002	3590	285	0.0794	2025-01-02	week	2025-01-02
prod_1388	shop_002	9373	720	0.0768	2025-01-02	week	2025-01-02
prod_1077	shop_001	675	13	0.0193	2025-01-02	week	2025-01-02
prod_1278	shop_001	4633	408	0.0881	2025-01-02	week	2025-01-02
prod_1401	shop_002	2299	297	0.1292	2025-01-02	week	2025-01-02
prod_1076	shop_001	1754	520	0.2965	2025-01-02	week	2025-01-02
prod_1420	shop_003	1244	11	0.0088	2025-01-02	week	2025-01-02
prod_1071	shop_001	3038	105	0.0346	2025-01-02	week	2025-01-02
prod_1495	shop_002	9793	962	0.0982	2025-01-02	week	2025-01-02
prod_1150	shop_001	9539	1420	0.1489	2025-01-02	week	2025-01-02
prod_1191	shop_003	8397	2424	0.2887	2025-01-02	week	2025-01-02
prod_1280	shop_002	6548	1429	0.2182	2025-01-02	week	2025-01-02
prod_1329	shop_001	3899	581	0.149	2025-01-02	week	2025-01-02
prod_1131	shop_003	2208	249	0.1128	2025-01-02	week	2025-01-02
prod_1239	shop_003	5188	879	0.1694	2025-01-02	week	2025-01-02
prod_1043	shop_002	5449	1535	0.2817	2025-01-02	week	2025-01-02
prod_1168	shop_002	8747	918	0.105	2025-01-02	week	2025-01-02
prod_1066	shop_002	5350	967	0.1807	2025-01-02	week	2025-01-02
prod_1497	shop_002	6528	700	0.1072	2025-01-02	week	2025-01-02
prod_1377	shop_002	5805	1657	0.2854	2025-01-02	week	2025-01-02
prod_1007	shop_002	5016	1209	0.241	2025-01-02	week	2025-01-02
prod_1281	shop_003	7819	2044	0.2614	2025-01-02	week	2025-01-02
prod_1328	shop_002	7754	1663	0.2145	2025-01-02	week	2025-01-02
prod_1275	shop_001	7345	1944	0.2647	2025-01-02	week	2025-01-02
prod_1309	shop_003	7653	514	0.0672	2025-01-02	week	2025-01-02
prod_1461	shop_001	3921	907	0.2313	2025-01-02	week	2025-01-02
prod_1062	shop_002	2919	391	0.1339	2025-01-02	week	2025-01-02
prod_1384	shop_001	2129	192	0.0902	2025-01-02	week	2025-01-02
prod_1125	shop_002	6226	769	0.1235	2025-01-02	month	2025-01-02
prod_1418	shop_001	9810	2837	0.2892	2025-01-02	month	2025-01-02
prod_1168	shop_002	4629	221	0.0477	2025-01-02	month	2025-01-02
prod_1210	shop_001	3312	933	0.2817	2025-01-02	month	2025-01-02
prod_1289	shop_003	5140	827	0.1609	2025-01-02	month	2025-01-02
prod_1095	shop_002	8612	225	0.0261	2025-01-02	month	2025-01-02
prod_1292	shop_002	6293	1489	0.2366	2025-01-02	month	2025-01-02
prod_1492	shop_001	5704	542	0.095	2025-01-02	month	2025-01-02
prod_1449	shop_003	6815	480	0.0704	2025-01-02	month	2025-01-02
prod_1237	shop_002	7013	102	0.0145	2025-01-02	month	2025-01-02
prod_1096	shop_002	9206	59	0.0064	2025-01-02	month	2025-01-02
prod_1038	shop_003	9926	187	0.0188	2025-01-02	month	2025-01-02
prod_1100	shop_002	9221	553	0.06	2025-01-02	month	2025-01-02
prod_1303	shop_002	3620	1078	0.2978	2025-01-02	month	2025-01-02
prod_1432	shop_003	1000	79	0.079	2025-01-02	month	2025-01-02
prod_1307	shop_003	2949	811	0.275	2025-01-02	month	2025-01-02
prod_1009	shop_001	5086	987	0.1941	2025-01-02	month	2025-01-02
prod_1079	shop_001	7956	396	0.0498	2025-01-02	month	2025-01-02
prod_1233	shop_002	9708	13	0.0013	2025-01-02	month	2025-01-02
prod_1175	shop_003	643	10	0.0156	2025-01-02	month	2025-01-02
prod_1122	shop_001	2156	388	0.18	2025-01-02	month	2025-01-02
prod_1490	shop_001	9070	2088	0.2302	2025-01-02	month	2025-01-02
